dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,0,0,0,11,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,0,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,0,0,0,11,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,0,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,0,1531298618.82,4,4
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,0,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,0,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,0,1531298191.21,1,4
7,0,1531298473.03,3,4
7,0,1531298820.84,6,4
7,0,1531298833.65,6,4
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,0,1531298186.36,3,7
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,0,0,0,4,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,1,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,1,1531297919.27,1,4
1,1,1531297933.71,1,4
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,1,1531297975.22,1,9
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,1,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,1,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,1,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,1,1531298460.72,5,7
6,1,1531298486.76,5,7
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,1,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,1,1531298755.28,6,7
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,1,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,2,1531297948.34,1,7
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,2,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,2,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,2,1531297963.5,2,7
3,2,1531298589.94,7,7
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,2,1531298504.22,6,7
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,2,1531297999.44,2,7
5,2,1531298265.9,6,7
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,2,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,2,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,2,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,2,1531298167.91,3,8
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,3,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,3,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,3,0,0,12,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,3,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,3,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,3,0,0,11,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,3,1531298452.13,3,5
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,3,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,3,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,3,0,0,12,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,4,0,0,4,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,4,0,0,10,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,4,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,4,1531298025.91,1,7
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,4,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,4,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,4,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,4,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,4,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,4,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,5,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,5,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,5,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,5,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,5,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,5,1531298383.4,4,5
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,5,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,5,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,5,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,5,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,6,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,6,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,6,1531298042.25,2,10
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,6,0,0,4,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,6,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,6,1531298314.45,4,6
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,6,1531298358.17,7,11
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,6,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,6,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,6,0,0,10,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,7,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,7,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,7,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,7,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,7,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,7,0,0,11,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,7,1531298352.12,8,13
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,7,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,7,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,7,0,0,11,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,8,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,8,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,8,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,8,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,8,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,8,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,8,0,0,10,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,8,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,8,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,8,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,0,9,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,1,9,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,2,9,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,3,9,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,4,9,0,0,6,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,5,9,0,0,7,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,6,9,0,0,9,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,7,9,0,0,8,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,8,9,0,0,5,
10,10,974.592770203,10,100.0,38.4615384615,0.01,0.026,0,9,9,0,0,6,
